ID,T(K),Z*10^-4 reported,Resist(Ohm.cm),Seebeck(uV/K),kappaZT,,Resist(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK),x,Formula,series,T_Max,family,,,Conduct(S/cm),Power_Factor*T_(W/mK),preparative_route,final_form,cell_volume(A^3),formula_units_per_cell,atoms_per_formula_unit,total_atoms_per_unit_cell,average_atomic_volume,ICSD_of_structure,temp of ICSD (K),S^2,ke/ktotal,space_group,number_symmetry_elements,,
1,300,NA,50,-462.967,0.000128603,1,50,-462.967,4.28677E-07,NA,NA,0,CaMnO3,CaLaMnO3,NA,CaMnO3,NA,NA,0.02,0.000128603,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,214338.4431,NA,62,8,,
2,400,NA,50,-462.967,0.000171471,1,50,-462.967,4.28677E-07,NA,NA,0,CaMnO3,CaLaMnO3,NA,CaMnO3,NA,NA,0.02,0.000171471,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,214338.4431,NA,62,8,,
3,700,NA,2.417491884,-470.651,0.00641403,1,50,-462.967,9.1629E-06,NA,NA,0,CaMnO3,CaLaMnO3,NA,CaMnO3,NA,NA,0.413651854,0.00641403,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,221512.3638,NA,62,8,,
4,1000,NA,0.177489866,-279.829,0.0441176,1,50,-462.967,4.41176E-05,NA,NA,0,CaMnO3,CaLaMnO3,NA,CaMnO3,NA,NA,5.634124477,0.0441176,solid_state_reaction,polycrystalline,206.97,4,5,20,10.3485,35218,300,78304.26924,NA,62,8,,
5,300,NA,0.046114613,-201.708,0.026468476,1,0.046114613,-201.708,8.82283E-05,NA,NA,0.02,Ca0.98La0.02MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,21.6851,0.026468476,solid_state_reaction,polycrystalline,207.74,4,5,20,10.387,82210,300,40686.11726,NA,62,8,,
6,400,NA,0.046114613,-201.708,0.035291301,1,0.046114613,-201.708,8.82283E-05,NA,NA,0.02,Ca0.98La0.02MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,21.6851,0.035291301,solid_state_reaction,polycrystalline,207.74,4,5,20,10.387,82210,300,40686.11726,NA,62,8,,
7,700,NA,0.065049112,-224.12,0.054052763,1,0.046114613,-201.708,7.72182E-05,NA,NA,0.02,Ca0.98La0.02MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,15.373,0.054052763,solid_state_reaction,polycrystalline,207.74,4,5,20,10.387,82210,300,50229.7744,NA,62,8,,
8,1000,NA,0.041084466,-190.181,0.088035252,1,0.046114613,-201.708,8.80353E-05,NA,NA,0.02,Ca0.98La0.02MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,24.3401,0.088035252,solid_state_reaction,polycrystalline,207.74,4,5,20,10.387,82210,300,36168.81276,NA,62,8,,
9,300,NA,0.015255507,-123.586,0.030035382,1,0.015255507,-123.586,0.000100118,NA,NA,0.04,Ca0.96La0.04MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,65.5501,0.030035382,solid_state_reaction,polycrystalline,208.49,4,5,20,10.4245,82209,300,15273.4994,NA,62,8,,
10,400,NA,0.015255507,-123.586,0.040047177,1,0.015255507,-123.586,0.000100118,NA,NA,0.04,Ca0.96La0.04MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,65.5501,0.040047177,solid_state_reaction,polycrystalline,208.49,4,5,20,10.4245,82209,300,15273.4994,NA,62,8,,
11,700,NA,0.02167829,-173.533,0.097238258,1,0.015255507,-123.586,0.000138912,NA,NA,0.04,Ca0.96La0.04MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,46.1291,0.097238258,solid_state_reaction,polycrystalline,208.49,4,5,20,10.4245,82209,300,30113.70209,NA,62,8,,
12,1000,NA,0.022216199,-160.085,0.115353698,1,0.015255507,-123.586,0.000115354,NA,NA,0.04,Ca0.96La0.04MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,45.0122,0.115353698,solid_state_reaction,polycrystalline,208.49,4,5,20,10.4245,82209,300,25627.20723,NA,62,8,,
13,300,NA,0.012167108,-103.735,0.026532888,1,0.012167108,-103.735,8.8443E-05,NA,NA,0.06,Ca0.94La0.06MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,82.1888,0.026532888,solid_state_reaction,polycrystalline,209.24,4,5,20,10.462,82208,300,10760.95023,NA,62,8,,
14,400,NA,0.012167108,-103.735,0.035377183,1,0.012167108,-103.735,8.8443E-05,NA,NA,0.06,Ca0.94La0.06MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,82.1888,0.035377183,solid_state_reaction,polycrystalline,209.24,4,5,20,10.462,82208,300,10760.95023,NA,62,8,,
15,700,NA,0.017025942,-127.428,0.066760044,1,0.012167108,-103.735,9.53715E-05,NA,NA,0.06,Ca0.94La0.06MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,58.7339,0.066760044,solid_state_reaction,polycrystalline,209.24,4,5,20,10.462,82208,300,16237.89518,NA,62,8,,
16,1000,NA,0.018839701,-135.752,0.097817932,1,0.012167108,-103.735,9.78179E-05,NA,NA,0.06,Ca0.94La0.06MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,53.0794,0.097817932,solid_state_reaction,polycrystalline,209.24,4,5,20,10.462,82208,300,18428.6055,NA,62,8,,
17,300,NA,0.009966115,-83.2444,0.020859573,1,0.009966115,-83.2444,6.95319E-05,NA,NA,0.08,Ca0.92La0.08MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,100.34,0.020859573,solid_state_reaction,polycrystalline,209.93,4,5,20,10.4965,82207,300,6929.630131,NA,62,8,,
18,400,NA,0.009966115,-83.2444,0.027812763,1,0.009966115,-83.2444,6.95319E-05,NA,NA,0.08,Ca0.92La0.08MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,100.34,0.027812763,solid_state_reaction,polycrystalline,209.93,4,5,20,10.4965,82207,300,6929.630131,NA,62,8,,
19,700,NA,0.013632206,-118.463,0.072060515,1,0.009966115,-83.2444,0.000102944,NA,NA,0.08,Ca0.92La0.08MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,73.3557,0.072060515,solid_state_reaction,polycrystalline,209.93,4,5,20,10.4965,82207,300,14033.48237,NA,62,8,,
20,1000,NA,0.015706625,-140.875,0.12635283,1,0.009966115,-83.2444,0.000126353,NA,NA,0.08,Ca0.92La0.08MnO3,CaLaMnO3,NA,CaMnO3,NA,NA,63.6674,0.12635283,solid_state_reaction,polycrystalline,209.93,4,5,20,10.4965,82207,300,19845.76563,NA,62,8,,
21,700,NA,152.9285824,483.473,0.000106993,4,NA,NA,1.52847E-07,NA,NA,0,NiO,LiNiO,NA,NiO,NA,NA,0.006539,0.000106993,solid_state_reaction,polycrystalline,72.93,4,2,8,9.11625,9866,300,233746.1417,NA,225,192,,
22,1000,NA,14.64759355,642.619,0.002819297,4,NA,NA,2.8193E-06,NA,NA,0,NiO,LiNiO,NA,NiO,NA,NA,0.0682706,0.002819297,solid_state_reaction,polycrystalline,72.93,4,2,8,9.11625,9866,300,412959.1792,NA,225,192,,
23,400,NA,28.86769359,294.97,0.00012056,4,28.86769359,294.97,3.014E-07,7.4551E-06,16.1715,0.0024,Li0.0024Ni0.9976O,LiNiO,NA,NiO,NA,NA,0.0346408,0.00012056,solid_state_reaction,polycrystalline,72.93,4,2,8,9.11625,9866,300,87007.3009,2.09068E-06,225,192,,
24,700,NA,0.262887397,249.75,0.016608839,4,28.86769359,294.97,2.37269E-05,0.001458067,11.391,0.0024,Li0.0024Ni0.9976O,LiNiO,NA,NiO,NA,NA,3.80391,0.016608839,solid_state_reaction,polycrystalline,72.93,4,2,8,9.11625,9866,300,62375.0625,0.000570369,225,192,,
25,1000,NA,0.046604403,262.408,0.147749899,4,28.86769359,294.97,0.00014775,0.017497599,8.44401,0.0024,Li0.0024Ni0.9976O,LiNiO,NA,NiO,NA,NA,21.4572,0.147749899,solid_state_reaction,polycrystalline,72.93,4,2,8,9.11625,9866,300,68857.95846,0.00620032,225,192,,
26,400,NA,5.08646999,249.37,0.000489026,4,5.08646999,249.37,1.22256E-06,5.87234E-05,8.32761,0.0066,Li0.0066Ni0.9944O,LiNiO,NA,NiO,NA,NA,0.1966,0.000489026,solid_state_reaction,polycrystalline,72.93,4,2,8,9.11625,9866,300,62185.3969,2.30416E-05,225,192,,
27,700,NA,0.031620853,200.391,0.088895726,4,5.08646999,249.37,0.000126994,0.014790072,6.0105,0.0066,Li0.0066Ni0.9944O,LiNiO,NA,NiO,NA,NA,31.6247,0.088895726,solid_state_reaction,polycrystalline,72.93,4,2,8,9.11625,9866,300,40156.55288,0.008986771,225,192,,
28,1000,NA,0.028478426,206.655,0.149960144,4,5.08646999,249.37,0.00014996,0.02826674,5.30518,0.0066,Li0.0066Ni0.9944O,LiNiO,NA,NiO,NA,NA,35.1143,0.149960144,solid_state_reaction,polycrystalline,72.93,4,2,8,9.11625,9866,300,42706.28903,0.016150044,225,192,,
29,400,NA,0.064272309,116.907,0.008505838,4,0.064272309,116.907,2.12646E-05,,NA,0.0184,Li0.0184Ni0.9816O,LiNiO,NA,NiO,NA,NA,15.5588,0.008505838,solid_state_reaction,polycrystalline,72.93,4,2,8,9.11625,9866,300,13667.24665,NA,225,192,,
30,700,NA,0.019804922,97.8809,0.033862641,4,0.064272309,116.907,4.83752E-05,,NA,0.0184,Li0.0184Ni0.9816O,LiNiO,NA,NiO,NA,NA,50.4925,0.033862641,solid_state_reaction,polycrystalline,72.93,4,2,8,9.11625,9866,300,9580.670585,NA,225,192,,
