T (K),Z*10^-4 reported,Resist. (Ohm.cm),Seebeck (uV/K),kappaZT,,Resist. (400K),Seebeck (400K),Pf (W/K^2/m),ZT,kappa (W/mK),x,Formula,series,T Max,family,,,Conduct. (S/cm),,Power Factor*T (W/mK),preparative route,final form,Authors,DOI,Comments,Comments,Cell Volume (A^3),Formula Units per Cell,Atoms per formula unit,total atoms per unit cell,average atomic volume,Author of Unit Cell,Unit Cell DOI,ICSD of structure,temp of ICSD (K),S^2,ke/ktotal,space group,# symmetry elements
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,50,-462.97,1.29E-04,1,50,-462.97,4.29E-07,,,0,CaMnO3,Ca1-xLaxMnO3,,CaMnO3,,,2.00E-02,,1.29E-04,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,2.14E+05,,62,8
400,,50,-462.97,1.71E-04,1,50,-462.97,4.29E-07,,,0,CaMnO3,Ca1-xLaxMnO3,,CaMnO3,,,2.00E-02,,1.71E-04,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,2.14E+05,,62,8
700,,2.417491884,-470.65,6.41E-03,1,50,-462.97,9.16E-06,,,0,CaMnO3,Ca1-xLaxMnO3,,CaMnO3,,,4.14E-01,,6.41E-03,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,2.22E+05,,62,8
1000,,0.177489866,-279.83,4.41E-02,1,50,-462.97,4.41E-05,,,0,CaMnO3,Ca1-xLaxMnO3,,CaMnO3,,,5.63E+00,,4.41E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,7.83E+04,,62,8
300,,0.046114613,-201.71,2.65E-02,1,0.046115,-201.71,8.82E-05,,,0.02,Ca0.98La0.02MnO3,Ca1-xLaxMnO3,,CaMnO3,,,2.17E+01,,2.65E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,207.74,4,5,20,10.387,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82210,300,4.07E+04,,62,8
400,,0.046114613,-201.71,3.53E-02,1,0.046115,-201.71,8.82E-05,,,0.02,Ca0.98La0.02MnO3,Ca1-xLaxMnO3,,CaMnO3,,,2.17E+01,,3.53E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,207.74,4,5,20,10.387,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82210,300,4.07E+04,,62,8
700,,0.065049112,-224.12,5.41E-02,1,0.046115,-201.71,7.72E-05,,,0.02,Ca0.98La0.02MnO3,Ca1-xLaxMnO3,,CaMnO3,,,1.54E+01,,5.41E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,207.74,4,5,20,10.387,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82210,300,5.02E+04,,62,8
1000,,0.041084466,-190.18,8.80E-02,1,0.046115,-201.71,8.80E-05,,,0.02,Ca0.98La0.02MnO3,Ca1-xLaxMnO3,,CaMnO3,,,2.43E+01,,8.80E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,207.74,4,5,20,10.387,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82210,300,3.62E+04,,62,8
300,,0.015255507,-123.59,3.00E-02,1,0.015256,-123.59,1.00E-04,,,0.04,Ca0.96La0.04MnO3,Ca1-xLaxMnO3,,CaMnO3,,,6.56E+01,,3.00E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,208.49,4,5,20,10.4245,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82209,300,1.53E+04,,62,8
400,,0.015255507,-123.59,4.00E-02,1,0.015256,-123.59,1.00E-04,,,0.04,Ca0.96La0.04MnO3,Ca1-xLaxMnO3,,CaMnO3,,,6.56E+01,,4.00E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,208.49,4,5,20,10.4245,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82209,300,1.53E+04,,62,8
700,,0.02167829,-173.53,9.72E-02,1,0.015256,-123.59,1.39E-04,,,0.04,Ca0.96La0.04MnO3,Ca1-xLaxMnO3,,CaMnO3,,,4.61E+01,,9.72E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,208.49,4,5,20,10.4245,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82209,300,3.01E+04,,62,8
1000,,0.022216199,-160.09,1.15E-01,1,0.015256,-123.59,1.15E-04,,,0.04,Ca0.96La0.04MnO3,Ca1-xLaxMnO3,,CaMnO3,,,4.50E+01,,1.15E-01,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,208.49,4,5,20,10.4245,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82209,300,2.56E+04,,62,8
300,,0.012167108,-103.74,2.65E-02,1,0.012167,-103.74,8.84E-05,,,0.06,Ca0.94La0.06MnO3,Ca1-xLaxMnO3,,CaMnO3,,,8.22E+01,,2.65E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.24,4,5,20,10.462,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82208,300,1.08E+04,,62,8
400,,0.012167108,-103.74,3.54E-02,1,0.012167,-103.74,8.84E-05,,,0.06,Ca0.94La0.06MnO3,Ca1-xLaxMnO3,,CaMnO3,,,8.22E+01,,3.54E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.24,4,5,20,10.462,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82208,300,1.08E+04,,62,8
700,,0.017025942,-127.43,6.68E-02,1,0.012167,-103.74,9.54E-05,,,0.06,Ca0.94La0.06MnO3,Ca1-xLaxMnO3,,CaMnO3,,,5.87E+01,,6.68E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.24,4,5,20,10.462,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82208,300,1.62E+04,,62,8
1000,,0.018839701,-135.75,9.78E-02,1,0.012167,-103.74,9.78E-05,,,0.06,Ca0.94La0.06MnO3,Ca1-xLaxMnO3,,CaMnO3,,,5.31E+01,,9.78E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.24,4,5,20,10.462,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82208,300,1.84E+04,,62,8
300,,0.009966115,-83.24,2.09E-02,1,0.009966,-83.24,6.95E-05,,,0.08,Ca0.92La0.08MnO3,Ca1-xLaxMnO3,,CaMnO3,,,1.00E+02,,2.09E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.93,4,5,20,10.4965,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82207,300,6.93E+03,,62,8
400,,0.009966115,-83.24,2.78E-02,1,0.009966,-83.24,6.95E-05,,,0.08,Ca0.92La0.08MnO3,Ca1-xLaxMnO3,,CaMnO3,,,1.00E+02,,2.78E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.93,4,5,20,10.4965,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82207,300,6.93E+03,,62,8
700,,0.013632206,-118.46,7.21E-02,1,0.009966,-83.24,1.03E-04,,,0.08,Ca0.92La0.08MnO3,Ca1-xLaxMnO3,,CaMnO3,,,7.34E+01,,7.21E-02,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.93,4,5,20,10.4965,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82207,300,1.40E+04,,62,8
1000,,0.015706625,-140.88,1.26E-01,1,0.009966,-83.24,1.26E-04,,,0.08,Ca0.92La0.08MnO3,Ca1-xLaxMnO3,,CaMnO3,,,6.37E+01,,1.26E-01,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,,209.93,4,5,20,10.4965,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82207,300,1.98E+04,,62,8
700,,152.9285824,483.47,1.07E-04,4,,,1.53E-07,,,0,NiO,LixNi1-xO,,NiO,,,6.54E-03,,1.07E-04,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,2.34E+05,,225,192
1000,,14.64759355,642.62,2.82E-03,4,,,2.82E-06,,,0,NiO,LixNi1-xO,,NiO,,,6.83E-02,,2.82E-03,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,4.13E+05,,225,192
400,,28.86769359,294.97,1.21E-04,4,28.867694,294.97,3.01E-07,7.46E-06,16.1715,0.0024,Li0.0024Ni0.9976O,LixNi1-xO,,NiO,,,3.46E-02,,1.21E-04,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,Data at 460 K,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,8.70E+04,2.09E-06,225,192
700,,0.262887397,249.75,1.66E-02,4,28.867694,294.97,2.37E-05,0.001458067,11.391,0.0024,Li0.0024Ni0.9976O,LixNi1-xO,,NiO,,,3.80E+00,,1.66E-02,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,6.24E+04,0.000570369,225,192
1000,,0.046604403,262.41,1.48E-01,4,28.867694,294.97,1.48E-04,0.017497599,8.44401,0.0024,Li0.0024Ni0.9976O,LixNi1-xO,,NiO,,,2.15E+01,,1.48E-01,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,6.89E+04,0.00620032,225,192
400,,5.08646999,249.37,4.89E-04,4,5.08647,249.37,1.22E-06,5.87E-05,8.32761,0.0066,Li0.0066Ni0.9944O,LixNi1-xO,,NiO,,,1.97E-01,,4.89E-04,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,Data at 460 K,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,6.22E+04,2.30E-05,225,192
700,,0.031620853,200.39,8.89E-02,4,5.08647,249.37,1.27E-04,0.014790072,6.0105,0.0066,Li0.0066Ni0.9944O,LixNi1-xO,,NiO,,,3.16E+01,,8.89E-02,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,4.02E+04,0.008986771,225,192
1000,,0.028478426,206.66,1.50E-01,4,5.08647,249.37,1.50E-04,0.02826674,5.30518,0.0066,Li0.0066Ni0.9944O,LixNi1-xO,,NiO,,,3.51E+01,,1.50E-01,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,4.27E+04,0.016150044,225,192
400,,0.064272309,116.91,8.51E-03,4,0.064272,116.91,2.13E-05,,,0.0184,Li0.0184Ni0.9816O,LixNi1-xO,,NiO,,,1.56E+01,,8.51E-03,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,Data at 460 K,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,1.37E+04,,225,192
700,,0.019804922,97.88,3.39E-02,4,0.064272,116.91,4.84E-05,,,0.0184,Li0.0184Ni0.9816O,LixNi1-xO,,NiO,,,5.05E+01,,3.39E-02,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,9.58E+03,,225,192
1000,,0.006660716,105.17,1.66E-01,4,0.064272,116.91,1.66E-04,,,0.0184,Li0.0184Ni0.9816O,LixNi1-xO,,NiO,,,1.50E+02,,1.66E-01,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,1.11E+04,,225,192
400,,0.012343256,102.59,3.41E-02,4,0.012343,102.59,8.53E-05,0.009093419,3.75078,0.0242,Li0.0242Ni0.9758O,LixNi1-xO,,NiO,,,8.10E+01,,3.41E-02,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,Data at 460 K,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,1.05E+04,0.021081353,225,192
700,,0.004865541,77.37,8.61E-02,4,0.012343,102.59,1.23E-04,0.024636562,3.49599,0.0242,Li0.0242Ni0.9758O,LixNi1-xO,,NiO,,,2.06E+02,,8.61E-02,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,5.99E+03,0.10041222,225,192
1000,,0.003874392,79.49,1.63E-01,4,0.012343,102.59,1.63E-04,0.063968983,2.54979,0.0242,Li0.0242Ni0.9758O,LixNi1-xO,,NiO,,,2.58E+02,,1.63E-01,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,300,6.32E+03,0.246991399,225,192
300,,5.007604258,-572.04,1.96E-03,1,2.925075,-549.12,6.53E-06,,,0,CaMnO3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,2.00E-01,,1.96E-03,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,Extrapolated from 325 K,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,3.27E+05,,62,8
400,,2.925074959,-549.12,4.12E-03,1,2.925075,-549.12,1.03E-05,0.001247231,3.30607,0,CaMnO3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,3.42E-01,,4.12E-03,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,3.02E+05,0.000100925,62,8
700,,0.643244379,-477.48,2.48E-02,1,2.925075,-549.12,3.54E-05,0.012122034,2.04673,0,CaMnO3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,1.55E+00,,2.48E-02,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,2.28E+05,0.001297333,62,8
1000,,0.110571194,-406.81,1.50E-01,1,2.925075,-549.12,1.50E-04,0.089158798,1.67874,0,CaMnO3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,9.04E+00,,1.50E-01,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,Extrapolated from 972 K,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,1.66E+05,0.013145115,62,8
300,,0.02032591,-100.04,1.48E-02,1,0.021537,-119.21,4.92E-05,0.005877928,2.51281,0.02,Ca0.98Bi0.02Mn0.98Nb0.02O3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,4.92E+01,,1.48E-02,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,Extrapolated from 325 K,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,1.00E+04,0.014331823,62,8
400,,0.021537238,-119.21,2.64E-02,1,0.021537,-119.21,6.60E-05,0.011603063,2.27454,0.02,Ca0.98Bi0.02Mn0.98Nb0.02O3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,4.64E+01,,2.64E-02,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,1.42E+04,0.019923528,62,8
700,,0.025914331,-184.31,9.18E-02,1,0.021537,-119.21,1.31E-04,0.048845628,1.87848,0.02,Ca0.98Bi0.02Mn0.98Nb0.02O3,Ca1-xBixMn1-yNbyO3,,CaMnO3,,,3.86E+01,,9.18E-02,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,300,3.40E+04,0.0350866,62,8
