Formula,Resist,Seebeck,T (K),average atomic volume,preparative route
CaMnO3,50.0,-462.97,300.0,10.3485,Solid state reaction
CaMnO3,50.0,-462.97,400.0,10.3485,Solid state reaction
CaMnO3,2.417491884,-470.65,700.0,10.3485,Solid state reaction
CaMnO3,0.17748986600000002,-279.83,1000.0,10.3485,Solid state reaction
Ca0.98La0.02MnO3,0.046114613,-201.71,300.0,10.387,Solid state reaction
Ca0.98La0.02MnO3,0.046114613,-201.71,400.0,10.387,Solid state reaction
Ca0.98La0.02MnO3,0.065049112,-224.12,700.0,10.387,Solid state reaction
Ca0.98La0.02MnO3,0.041084466,-190.18,1000.0,10.387,Solid state reaction
Ca0.96La0.04MnO3,0.015255507,-123.59,300.0,10.4245,Solid state reaction
Ca0.96La0.04MnO3,0.015255507,-123.59,400.0,10.4245,Solid state reaction
Ca0.96La0.04MnO3,0.02167829,-173.53,700.0,10.4245,Solid state reaction
Ca0.96La0.04MnO3,0.022216199,-160.09,1000.0,10.4245,Solid state reaction
Ca0.94La0.06MnO3,0.012167108000000001,-103.74,300.0,10.462,Solid state reaction
Ca0.94La0.06MnO3,0.012167108000000001,-103.74,400.0,10.462,Solid state reaction
Ca0.94La0.06MnO3,0.017025942,-127.43,700.0,10.462,Solid state reaction
Ca0.94La0.06MnO3,0.018839701,-135.75,1000.0,10.462,Solid state reaction
Ca0.92La0.08MnO3,0.009966115,-83.24,300.0,10.4965,Solid state reaction
Ca0.92La0.08MnO3,0.009966115,-83.24,400.0,10.4965,Solid state reaction
Ca0.92La0.08MnO3,0.013632206000000001,-118.46,700.0,10.4965,Solid state reaction
Ca0.92La0.08MnO3,0.015706625,-140.88,1000.0,10.4965,Solid state reaction
NiO,152.9285824,483.47,700.0,9.11625,Solid state reaction
NiO,14.64759355,642.62,1000.0,9.11625,Solid state reaction
Li0.0024Ni0.9976O,28.86769359,294.97,400.0,9.11625,Solid state reaction
Li0.0024Ni0.9976O,0.26288739699999997,249.75,700.0,9.11625,Solid state reaction
Li0.0024Ni0.9976O,0.046604402999999996,262.41,1000.0,9.11625,Solid state reaction
Li0.0066Ni0.9944O,5.08646999,249.37,400.0,9.11625,Solid state reaction
Li0.0066Ni0.9944O,0.031620853,200.39,700.0,9.11625,Solid state reaction
Li0.0066Ni0.9944O,0.028478426,206.66,1000.0,9.11625,Solid state reaction
Li0.0184Ni0.9816O,0.064272309,116.91,400.0,9.11625,Solid state reaction
Li0.0184Ni0.9816O,0.019804922,97.88,700.0,9.11625,Solid state reaction
Li0.0184Ni0.9816O,0.006660716,105.17,1000.0,9.11625,Solid state reaction
Li0.0242Ni0.9758O,0.012343256,102.59,400.0,9.11625,Solid state reaction
Li0.0242Ni0.9758O,0.004865541,77.37,700.0,9.11625,Solid state reaction
Li0.0242Ni0.9758O,0.003874392,79.49,1000.0,9.11625,Solid state reaction
CaMnO3,5.007604258,-572.04,300.0,10.3485,Solid state reaction
CaMnO3,2.925074959,-549.12,400.0,10.3485,Solid state reaction
CaMnO3,0.643244379,-477.48,700.0,10.3485,Solid state reaction
CaMnO3,0.110571194,-406.81,1000.0,10.3485,Solid state reaction
Ca0.98Bi0.02Mn0.98Nb0.02O3,0.02032591,-100.04,300.0,10.3485,Solid state reaction
Ca0.98Bi0.02Mn0.98Nb0.02O3,0.021537237999999997,-119.21,400.0,10.3485,Solid state reaction
Ca0.98Bi0.02Mn0.98Nb0.02O3,0.025914331000000002,-184.31,700.0,10.3485,Solid state reaction
Ca0.98Bi0.02Mn0.98Nb0.02O3,0.026637901000000002,-205.16,1000.0,10.3485,Solid state reaction
Ca0.96Bi0.04Mn0.96Nb0.04O3,0.008864209,-91.19,300.0,10.3485,Solid state reaction
Ca0.96Bi0.04Mn0.96Nb0.04O3,0.009823585,-114.15,400.0,10.3485,Solid state reaction
Ca0.96Bi0.04Mn0.96Nb0.04O3,0.012502015,-164.08,700.0,10.3485,Solid state reaction
Ca0.9Bi0.1Mn0.9Nb0.1O3,0.014545545,-172.3,1000.0,10.3485,Solid state reaction
Ca0.9Bi0.1Mn0.9Nb0.1O3,0.007325376999999999,-72.23,300.0,10.3485,Solid state reaction
Ca0.9Bi0.1Mn0.9Nb0.1O3,0.0072577169999999995,-72.44,400.0,10.3485,Solid state reaction
Ca0.9Bi0.1Mn0.9Nb0.1O3,0.007633259,-80.65,700.0,10.3485,Solid state reaction
Ca0.9Bi0.1Mn0.9Nb0.1O3,0.008303286,-92.67,1000.0,10.3485,Solid state reaction
CaMn0.98Nb0.02O3,0.02,-180.0,300.0,10.4105,Ultrasonic Spray Pyrolysis
CaMn0.98Nb0.02O3,0.0215409,-203.88,400.0,10.4105,Ultrasonic Spray Pyrolysis
CaMn0.98Nb0.02O3,0.028357999999999998,-234.57,700.0,10.4105,Ultrasonic Spray Pyrolysis
CaMn0.98Nb0.02O3,0.030879400000000005,-248.22,1000.0,10.4105,Ultrasonic Spray Pyrolysis
CaMn0.98Ru0.02O3,0.018365799999999998,-153.66,400.0,10.4105,Solid state reaction
CaMn0.98Ru0.02O3,0.0241829,-195.78,700.0,10.4105,Solid state reaction
CaMn0.98Ru0.02O3,0.0279999,-213.72,1000.0,10.4105,Solid state reaction
CaMn0.96Ru0.04O3,0.00752127,-119.99,400.0,10.4105,Solid state reaction
CaMn0.96Ru0.04O3,0.0101835,-137.22,700.0,10.4105,Solid state reaction
CaMn0.96Ru0.04O3,0.012698200000000001,-152.89,1000.0,10.4105,Solid state reaction
CaMn0.94Ru0.06O3,0.00660169,-101.6,400.0,10.4105,Solid state reaction
CaMn0.94Ru0.06O3,0.00892335,-122.22,700.0,10.4105,Solid state reaction
CaMn0.94Ru0.06O3,0.011392600000000001,-144.55,1000.0,10.4105,Solid state reaction
CaMn0.9Ru0.1O3,0.00395648,-60.57,400.0,10.517999999999999,Solid state reaction
CaMn0.9Ru0.1O3,0.00529042,-81.62,700.0,10.517999999999999,Solid state reaction
CaMn0.9Ru0.1O3,0.00673792,-101.82,1000.0,10.517999999999999,Solid state reaction
CaMn0.82Ru0.18O3,0.00310502,-35.67,400.0,10.517999999999999,Solid state reaction
CaMn0.82Ru0.18O3,0.00403027,-55.87,700.0,10.517999999999999,Solid state reaction
CaMn0.82Ru0.18O3,0.00504634,-67.87,1000.0,10.517999999999999,Solid state reaction
CaGd0.98Mn0.02O3,0.03054545,-211.97,300.0,10.517999999999999,Co-precipitation
CaGd0.98Mn0.02O3,0.027541002000000002,-215.39,400.0,10.517999999999999,Co-precipitation
CaGd0.98Mn0.02O3,0.022105261,-227.92,700.0,10.517999999999999,Co-precipitation
CaGd0.98Mn0.02O3,0.022702713,-235.33,1000.0,10.517999999999999,Co-precipitation
CaGd0.96Mn0.04O3,0.014867258000000001,-162.39,300.0,10.517999999999999,Co-precipitation
CaGd0.96Mn0.04O3,0.012873558,-163.53,400.0,10.517999999999999,Co-precipitation
CaGd0.96Mn0.04O3,0.011666665,-172.65,700.0,10.517999999999999,Co-precipitation
CaGd0.96Mn0.04O3,0.010566033,-172.65,1000.0,10.517999999999999,Co-precipitation
CaGd0.94Mn0.06O3,0.014545455,-104.27,300.0,10.517999999999999,Co-precipitation
CaGd0.94Mn0.06O3,0.011351356000000002,-118.52,400.0,10.517999999999999,Co-precipitation
CaGd0.94Mn0.06O3,0.008659808,-144.73,700.0,10.517999999999999,Co-precipitation
CaGd0.94Mn0.06O3,0.008865405,-144.73,1000.0,10.517999999999999,Co-precipitation
Nd1.4Bi0.6Ru2O7,0.00175816,23.09,400.0,12.53022727,Solid state reaction
Nd1.4Bi0.6Ru2O7,0.00192802,32.45,700.0,12.53022727,Solid state reaction
Nd1.4Bi0.6Ru2O7,0.00203743,39.96,1000.0,12.53022727,Solid state reaction
NdBiRu2O7,0.00117083,21.17,400.0,12.48545455,Solid state reaction
NdBiRu2O7,0.00134069,30.25,700.0,12.48545455,Solid state reaction
NdBiRu2O7,0.00153071,35.44,1000.0,12.48545455,Solid state reaction
Yb1.4Bi0.6Ru2O7,0.00321831,17.72,400.0,12.48545455,Solid state reaction
Yb1.4Bi0.6Ru2O7,0.00310001,29.32,700.0,12.48545455,Solid state reaction
Yb1.4Bi0.6Ru2O7,0.00297746,38.96,1000.0,12.48545455,Solid state reaction
YbBiRu2O7,0.00169298,19.3,400.0,12.48545455,Solid state reaction
YbBiRu2O7,0.00176901,29.32,700.0,12.48545455,Solid state reaction
YbBiRu2O7,0.00181126,35.86,1000.0,12.48545455,Solid state reaction
Bi2Ru2O7,0.00049075,-1.64,400.0,12.39352273,Solid state reaction
Bi2Ru2O7,0.00057405,5.38,700.0,12.39352273,Solid state reaction
Bi2Ru2O7,0.00068672,12.43,1000.0,12.39352273,Solid state reaction
Y0.5Bi1.5Ru2O7,0.00101116,21.46,400.0,12.27034091,Solid state reaction
Y0.5Bi1.5Ru2O7,0.001050437,15.29,700.0,12.27034091,Solid state reaction
Y0.5Bi1.5Ru2O7,0.001190611,17.26,1000.0,12.27034091,Solid state reaction
YBiRu2O7,0.0019954,15.44,400.0,12.15625,Solid state reaction
YBiRu2O7,0.001901516,17.15,700.0,12.15625,Solid state reaction
YBiRu2O7,0.001998573,17.21,1000.0,12.15625,Solid state reaction
Y2Ru2O7,5.732274775,270.0,400.0,11.82727273,Solid state reaction
Y2Ru2O7,0.284067795,21.92,700.0,11.82727273,Solid state reaction
Y2Ru2O7,0.084481186,17.26,1000.0,11.82727273,Solid state reaction
Nd2Ru2O7,2.0,210.0,300.0,12.54875,solid state reaction
Nd2Ru2O7,0.25,40.0,400.0,12.54875,solid state reaction
Nd2Ru2O7,0.017,22.7,700.0,12.54875,solid state reaction
Nd2Ru2O7,0.0101,26.5,1000.0,12.54875,solid state reaction
Nd2Ru2O7,1.536,173.9,300.0,12.54875,Ultrasonic spray pyrolysis
Nd2Ru2O7,0.38,59.3,400.0,12.54875,Ultrasonic spray pyrolysis
Nd2Ru2O7,0.031,22.0,700.0,12.54875,Ultrasonic spray pyrolysis
Ca0.9Nd0.1MnO3,0.011934,-90.28,400.0,10.5465,Solid state reaction
Ca0.9Nd0.1MnO3,0.017405700000000003,-123.85,700.0,10.5465,Solid state reaction
Ca0.9Nd0.1MnO3,0.0213208,-130.04,1000.0,10.5465,Solid state reaction
Ca0.9Tb0.1MnO3,0.0107547,-90.28,400.0,10.450999999999999,Solid state reaction
Ca0.9Tb0.1MnO3,0.015330200000000002,-123.85,700.0,10.450999999999999,Solid state reaction
Ca0.9Tb0.1MnO3,0.0183962,-130.04,1000.0,10.450999999999999,Solid state reaction
Ca0.9Ho0.1MnO3,0.00698113,-90.28,400.0,10.422,Solid state reaction
Ca0.9Ho0.1MnO3,0.00981132,-123.85,700.0,10.422,Solid state reaction
Ca0.9Ho0.1MnO3,0.0125,-130.04,1000.0,10.422,Solid state reaction
Ca0.9Yb0.1MnO3,0.0040566000000000005,-90.28,400.0,10.376,Solid state reaction
Ca0.9Yb0.1MnO3,0.00599057,-123.85,700.0,10.376,Solid state reaction
Ca0.9Yb0.1MnO3,0.00825472,-130.04,1000.0,10.376,Solid state reaction
CaMnO3,0.460937,-600.16,400.0,10.3485,Solid state reaction
CaMnO3,0.233107,-374.8,700.0,10.3485,Solid state reaction
CaMnO3,0.0834071,-320.53,1000.0,10.3485,Solid state reaction
Ca0.9Tb0.1MnO3,0.00576296,-74.98,300.0,10.479000000000001,Solid state reaction
Ca0.9Tb0.1MnO3,0.00638941,-93.82,400.0,10.479000000000001,Solid state reaction
Ca0.9Tb0.1MnO3,0.00831725,-124.55,700.0,10.479000000000001,Solid state reaction
Ca0.9Tb0.1MnO3,0.0102451,-152.37,1000.0,10.479000000000001,Solid state reaction
Ca0.7Tb0.3MnO3,0.00607036,-46.31,300.0,10.6575,Solid state reaction
Ca0.7Tb0.3MnO3,0.00549942,-44.36,400.0,10.6575,Solid state reaction
Ca0.7Tb0.3MnO3,0.00525905,-55.34,700.0,10.6575,Solid state reaction
Ca0.7Tb0.3MnO3,0.00558501,-68.2,1000.0,10.6575,Solid state reaction
Ca0.9Ho0.1MnO3,0.00669346,-72.01,300.0,10.452,Solid state reaction
Ca0.9Ho0.1MnO3,0.00739839,-81.79,400.0,10.452,Solid state reaction
Ca0.9Ho0.1MnO3,0.00949715,-101.47,700.0,10.452,Solid state reaction
Ca0.9Ho0.1MnO3,0.0115796,-114.58,1000.0,10.452,Solid state reaction
Ca0.7Ho0.3MnO3,0.00511856,-43.69,300.0,10.615,Solid state reaction
Ca0.7Ho0.3MnO3,0.0043952,-45.05,400.0,10.615,Solid state reaction
Ca0.7Ho0.3MnO3,0.00376682,-50.98,700.0,10.615,Solid state reaction
Ca0.7Ho0.3MnO3,0.00422589,-64.7,1000.0,10.615,Solid state reaction
Ca0.9Y0.1MnO3,0.00437499,-70.53,300.0,10.615,Solid state reaction
Ca0.9Y0.1MnO3,0.00477637,-81.71,400.0,10.615,Solid state reaction
Ca0.9Y0.1MnO3,0.00591553,-112.78,700.0,10.615,Solid state reaction
Ca0.9Y0.1MnO3,0.00710372,-135.59,1000.0,10.615,Solid state reaction
Ca0.7Y0.3MnO3,0.00762653,-41.61,300.0,10.9915,Solid state reaction
Ca0.7Y0.3MnO3,0.00649209,-41.63,400.0,10.9915,Solid state reaction
Ca0.7Y0.3MnO3,0.00627506,-52.45,700.0,10.9915,Solid state reaction
Ca0.7Y0.3MnO3,0.00707093,-60.8,1000.0,10.9915,Solid state reaction
BaPbO3,0.00043373699999999996,-26.0,300.0,15.5715,Solid state reaction (under oxygen)
BaPbO3,0.0005094090000000001,-31.98,400.0,15.5715,Solid state reaction (under oxygen)
BaPbO3,0.000526685,-33.62,700.0,15.5715,Solid state reaction (under oxygen)
BaPbO3,0.000858552,-30.17,1000.0,15.5715,Solid state reaction (under oxygen)
Ba0.8Sr0.2PbO3,0.000462332,-24.46,300.0,15.5715,Solid state reaction (under oxygen)
Ba0.8Sr0.2PbO3,0.000476044,-30.29,400.0,15.5715,Solid state reaction (under oxygen)
Ba0.8Sr0.2PbO3,0.0005505180000000001,-41.77,700.0,15.5715,Solid state reaction (under oxygen)
Ba0.8Sr0.2PbO3,0.000601159,-33.71,1000.0,15.5715,Solid state reaction (under oxygen)
Ba0.6Sr0.4PbO3,0.00130601,-42.0,300.0,15.097999999999999,Solid state reaction (under oxygen)
Ba0.6Sr0.4PbO3,0.00127204,-51.37,400.0,15.097999999999999,Solid state reaction (under oxygen)
Ba0.6Sr0.4PbO3,0.00117492,-65.77,700.0,15.097999999999999,Solid state reaction (under oxygen)
Ba0.6Sr0.4PbO3,0.00068696,-39.71,1000.0,15.902000000000001,Solid state reaction (under oxygen)
Ba0.4Sr0.6PbO3,0.00412774,-82.77,300.0,15.097999999999999,Solid state reaction (under oxygen)
Ba0.4Sr0.6PbO3,0.00395079,-96.44,400.0,15.097999999999999,Solid state reaction (under oxygen)
Ba0.4Sr0.6PbO3,0.00351048,-117.92,700.0,15.097999999999999,Solid state reaction (under oxygen)
Ba0.4Sr0.6PbO3,0.00093481,-52.48,1000.0,15.902000000000001,Solid state reaction (under oxygen)
LaNiO3,0.00284295,-19.88,400.0,11.31433333,"Evaporate nitrates (1173 K, air)"
LaNiO3,0.00460122,-25.76,700.0,11.31433333,"Evaporate nitrates (1173 K, air)"
LaNiO3,0.00621929,-27.03,1000.0,11.31433333,"Evaporate nitrates (1173 K, air)"
La0.9Bi0.1NiO3,0.0026726999999999996,-20.95,400.0,11.31433333,"Evaporate nitrates (1173 K, air)"
La0.9Bi0.1NiO3,0.0041267,-28.46,700.0,11.31433333,"Evaporate nitrates (1173 K, air)"
La0.9Bi0.1NiO3,0.00608691,-30.79,1000.0,11.31433333,"Evaporate nitrates (1173 K, air)"
Ca0.96Sm0.04MnO3,0.00603672,-139.46,400.0,10.5195,Co-precipitation
Ca0.96Sm0.04MnO3,0.00825459,-169.85,700.0,10.5195,Co-precipitation
Ca0.96Sm0.04MnO3,0.0110453,-187.5,1000.0,10.5195,Co-precipitation
Bi2Te3,0.00055,162.0,300.0,33.94733333,melted
Bi2Te3,0.00045,-174.0,300.0,33.94733333,melted
Sb2Te3,0.00018999999999999998,38.0,300.0,31.97266667,melted
Sb2Te3,0.000122,63.0,300.0,31.97266667,melted
Ag0.15Sb0.15Te1.15Ge0.85,0.000694238,78.67,300.0,31.97266667,melted
Ag0.15Sb0.15Te1.15Ge0.85,0.000849855,122.16,400.0,31.97266667,melted
Ag0.15Sb0.15Te1.15Ge0.85,0.00121347,199.03,700.0,31.97266667,melted
Ag0.15Sb0.15Te1.15Ge0.85,0.00127604,165.79,1000.0,31.97266667,melted
In0.05Co4Sb12,0.00597571,-279.86,300.0,23.04193797,Solid state reaction
In0.05Co4Sb12,0.00677423,-295.57,400.0,23.04193797,Solid state reaction
In0.05Co4Sb12,0.00843493,-334.67,700.0,23.04193797,Solid state reaction
In0.1Co4Sb12,0.00292032,-257.3,300.0,23.01689178,Solid state reaction
In0.1Co4Sb12,0.00340249,-276.16,400.0,23.01689178,Solid state reaction
In0.1Co4Sb12,0.00433546,-309.85,700.0,23.01689178,Solid state reaction
In0.15Co4Sb12,0.00187175,-246.59,300.0,22.95323943,Solid state reaction
